"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","pro_2016","SPS2017","pro_2017","SPS2018","pro_2018","SPS2019","pro_2019"
"68","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4025,"Tekoèe vzdrževanje",145331279.3,177809472.8,22.35,183683852.6,3.29999999999999,196576766.4,7.02,209952305.5,6.80000000000001
"69","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4026,"Poslovne najemnine in zakupnine",51827514.34,59591138.96,14.98,58693829.44,-1.51,60081388.55,2.36000000000001,58398805.05,-2.8
"70","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4027,"Kazni in odškodnine",8670387,24417800,181.62,19938919,-18.34,18155090,-8.95,10715908,-40.98
"71","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4029,"Drugi operativni odhodki",109912697.6,142855058.7,29.97,155570710.5,8.9,200477995.4,28.87,154109139.3,-23.13
"72","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",403,"Plaèila domaèih obresti",4031,"Plaèila obresti od kreditov - poslovnim bankam",22714923.28,9128698.3,-59.81,5993582.07,-34.34,4126504.79,-31.15,2702903.27,-34.5
"73","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",403,"Plaèila domaèih obresti",4032,"Plaèila obresti od kreditov - drugim finanènim institucijam",91985.74,32000,-65.21,32000,0,28103.56,-12.18,58000,106.38
"74","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",403,"Plaèila domaèih obresti",4033,"Plaèila obresti od kreditov - drugim domaèim kreditodajalcem",563940.23,25143.52,-95.54,NA,NA,15000,NA,NA,NA
"75","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",403,"Plaèila domaèih obresti",4034,"Plaèila obresti od vrednostnih papirjev izdanih na domaèem trgu",568376752.3,600859195.6,5.70999999999999,623977198.6,3.85,672466207.7,7.77000000000001,703061012.7,4.55000000000001
"76","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",404,"Plaèila tujih obresti",4040,"Plaèila obresti od kreditov - mednarodnim finanènim institucijam",24969768.07,12737818.94,-48.99,12539799.84,-1.55,12175600.06,-2.9,12840727.1,5.46
"77","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",404,"Plaèila tujih obresti",4044,"Plaèila obresti od vrednostnih papirjev, izdanih na tujih trgih",304681033.2,436655607.2,43.32,366155607.2,-16.15,277163291.5,-24.3,104837356.9,-62.17
"78","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",409,"Rezerve",4090,"Splošna proraèunska rezervacija",11050000,29900000,170.59,37450000,25.25,3.7e+07,-1.2,37939003,2.54000000000001
"79","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",409,"Rezerve",4091,"Proraèunska rezerva",18896559,5121599,-72.9,14121599,175.73,5e+06,-64.59,5e+06,0
"80","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",409,"Rezerve",4093,"Sredstva za posebne namene",44712480.01,105720000,136.44,103900000,-1.72,102849884,-1.01,103387256,0.520000000000009
"81","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",410,"Subvencije",4100,"Subvencije javnim podjetjem",47695500,91573340.5,92,140467027.5,53.39,60306306,-57.07,50050009,-17.01
"82","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",410,"Subvencije",4102,"Subvencije privatnim podjetjem in zasebnikom",222338234.2,402797805.1,81.16,343728375.2,-14.66,422586036.1,22.94,476786783.3,12.83
"83","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4110,"Transferi nezaposlenim",256033992.4,178254815.1,-30.38,167224570.1,-6.19,146820916,-12.2,150426879.1,2.46
"84","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4111,"Družinski prejemki in starševska nadomestila",527855448.2,502549551,-4.79000000000001,500549551,-0.4,495747650,-0.960000000000005,492353650,-0.680000000000003
"85","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4112,"Transferi za zagotavljanje socialne varnosti",223993028,247540781.6,10.51,223652038,-9.65,224892224,0.550000000000006,219195200.5,-2.53
"86","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",62736000,49745014,-20.71,34482000,-30.68,56994000,65.29,54975278,-3.54
"87","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4117,"Štipendije",73793813.46,74285174,0.669999999999993,74186474,-0.129999999999997,76360181.55,2.93000000000001,73729511.22,-3.45
"88","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4119,"Drugi transferi posameznikom",157450285.3,167920352.8,6.65,171753602,2.27999999999999,167115625.7,-2.7,178072664,6.56000000000001
"89","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",412,"Transferi nepridobitnim organizacijam in ustanovam",4120,"Tekoèi transferi nepridobitnim organizacijam in ustanovam",71831417.04,88099096.91,22.65,96808416.39,9.89,156179629.7,61.33,155159323.1,-0.649999999999995
"90","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4130,"Tekoèi transferi obèinam",17103269.07,54745962.09,220.09,15325499,-72.01,24500577.43,59.87,15689175,-35.96
